name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
warsaw,2021-07-21,22.8,14.5,19.2,22.8,14.5,19.2,13.2,69.8,0,0,0,,0,0,18,26.9,290.2,1018.1,40.6,20.9,199,17.3,6,,2021-07-21T04:40:42,2021-07-21T20:43:16,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-22,23.5,13.6,19.1,23.5,13.6,19.1,12.8,69,0,0,0,,0,0,7.2,22.5,293.3,1020,53.7,20.8,200.1,17.1,8,,2021-07-22T04:42:05,2021-07-22T20:41:56,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-23,24,16.8,20.5,24,16.8,20.5,14.3,68.7,0,0,0,,0,0,,12.7,260.3,1017.1,60.1,19.7,170,14.8,7,,2021-07-23T04:43:30,2021-07-23T20:40:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-24,26,15,21.5,26,15,21.5,14.5,67.1,0,0,0,,0,0,,14.4,95.2,1015.7,49.1,17.9,216.4,18.7,6,,2021-07-24T04:44:55,2021-07-24T20:39:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-25,29.8,18.5,23.9,29.6,18.5,23.9,15,58.7,0,0,0,,0,0,10.8,18,124.2,1014,55.8,20,248.9,21.4,7,,2021-07-25T04:46:22,2021-07-25T20:37:44,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-26,26.8,19.2,21.6,27.9,19.2,21.7,17.5,78.3,12.2,100,8.33,rain,0,0,42.5,20.7,120.8,1012.6,67.6,18.4,129.8,11,5,,2021-07-26T04:47:50,2021-07-26T20:36:15,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-27,27.3,18.3,22.4,28.4,18.3,22.7,18.9,82.2,5,100,4.17,rain,0,0,,14.8,224.2,1012.4,43.5,12.5,199,17,6,,2021-07-27T04:49:19,2021-07-27T20:34:44,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,E1334,EPMO"
warsaw,2021-07-28,30.8,16.3,24.6,30.7,16.3,24.7,16.9,65.9,0,0,0,,0,0,53.6,23.2,170,1011.5,33.5,15.4,227.1,19.6,7,,2021-07-28T04:50:48,2021-07-28T20:33:12,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-07-29,26.5,18.5,22.2,26.5,18.5,22.2,16.1,70.7,9.86,100,8.33,rain,0,0,39.6,18.7,257.4,1010.5,36,16.5,264.7,22.7,8,,2021-07-29T04:52:19,2021-07-29T20:31:37,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-07-30,25.5,16.8,21.4,25.5,16.8,21.4,12.6,59.1,0,0,0,,0,0,43.2,18.6,253.5,1009.3,32.8,18.5,245.8,21.2,8,,2021-07-30T04:53:50,2021-07-30T20:30:00,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-07-31,26.7,14.5,21.6,27.5,14.5,21.6,14.9,67.6,0,0,0,,0,0,,11.6,175.4,1007.1,22.9,17.4,178.4,15.2,5,,2021-07-31T04:55:22,2021-07-31T20:28:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-01,23.2,15.1,18.9,23.2,15.1,18.9,13.8,73.4,0.2,100,12.5,rain,0,0,21.6,17.5,333.6,1007.6,48.8,17,115.6,10,6,,2021-08-01T04:56:55,2021-08-01T20:26:40,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
